id	label	organization	year	version	status	url	document_name_en	document_name_fr	excerpt_en	excerpt_fr
sfar-sfa-2025-annex-4	SFAR/SFA 2025	SFAR/SFA	2025	Annex 4	approved	https://sfa.lesallergies.fr/wp-content/uploads/2025_SFAR-SFA_RFE-Diagnostic-et-prise-en-charge-des-reactions-dhypersensibilite-immediate-perioperatoires.pdf	Diagnostic et prise en charge des reactions d'hypersensibilite immediate perioperatoires - Annex 4	Diagnostic et prise en charge des reactions d'hypersensibilite immediate perioperatoires - Annexe 4	Annex 4 lists validated maximum concentrations for prick and intradermal skin tests.	L'annexe 4 liste les concentrations maximales validees pour les prick tests et les intradermo-reactions.
eaaci-2019-table-4	EAACI 2019	EAACI	2019	Table 4	approved	https://onlinelibrary.wiley.com/doi/epdf/10.1111/all.13820	Perioperative Hypersensitivity Reactions: An EAACI Position Paper - Table 4	Reactions d'hypersensibilite perioperatoires : document de position EAACI - Tableau 4	Table 4 lists recommended maximum non-irritative concentrations for perioperative drugs used in skin prick tests and intradermal tests.	Le tableau 4 liste les concentrations maximales non-irritantes recommandees pour les medicaments perioperatoires utilises en prick-test et en intradermo-reaction.
